Id,Label
Elton John,Elton John
Eric Clapton,Eric Clapton
Paul McCartney,Paul McCartney
James Taylor,James Taylor
Michael Jackson,Michael Jackson
Billy Joel,Billy Joel
"Earth, Wind & Fire","Earth, Wind & Fire"
Eagles,Eagles
ABBA,ABBA
Queen,Queen
Bruce Springsteen,Bruce Springsteen
Aerosmith,Aerosmith
Barry Manilow,Barry Manilow
Donna Summer,Donna Summer
Kiss,Kiss
AC/DC,AC/DC
Journey,Journey
Kenny Rogers,Kenny Rogers
Bob Marley,Bob Marley
Foreigner,Foreigner
Meat Loaf,Meat Loaf
Tom Petty,Tom Petty
Prince,Prince
Dire Straits,Dire Straits
Van Halen,Van Halen
The Police,The Police
Def Leppard,Def Leppard
Bryan Adams,Bryan Adams
